rango,id_del_proceso,entidad,departamento,objeto,modalidad,precio_base,razones,menciones_entidad,nivel_menciones,referencia_citada_en_prensa,url_secop,limite
62,CO1.REQ.2240012,ALCALDÍA DE POPAYÁN,Cauca,SERVICIOS EN LA SECRETARÍA DEL DEPORTE RECREACIÓN ACTIVIDAD FÍSICA Y APROVECHAMIENTO DEL TIEMPO LIBRE,Contratación directa,12000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2200219,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
63,CO1.REQ.7896558,GOBERNACION DEL MAGDALENA,Magdalena,PS-0539-2025,Contratación directa,11700000,entidad en prensa; contratación directa; 0 respuestas de proveedores,5,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7773742,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
64,CO1.REQ.6838392,CAMARA DE REPRESENTANTES,Distrito Capital de Bogotá,CPS_2494_2024,Contratación directa,11333333,entidad en prensa; contratación directa; 0 respuestas de proveedores,29,alta,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6720422,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
65,CO1.REQ.10054669,GOBERNACION DE SUCRE,Sucre,PRESTACION DE SERVICIOS PROFESIONALES,Contratación directa,10500000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9925167,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
66,CO1.REQ.2534601,"Ministerio de las Culturas, las Artes y los Saberes",Distrito Capital de Bogotá,CONTRATO DE LICENCIA,Contratación directa,10000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2470904,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
67,CO1.REQ.2405419,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACIÓN DE SERVICIOS,Contratación directa,9966667,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2343933,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
68,CO1.REQ.4678298,GOBERNACION DEL CHOCÓ.,No Definido,PRESTACIÒN DE SERVICIOS,Contratación directa,9200000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4580061,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
69,CO1.REQ.8966375,GOBERNACION DE SUCRE,Sucre,PRESTACION DE SERVICIOS PROFESIONALES,Contratación directa,9000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8832611,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
70,CO1.REQ.9406823,GOBIERNO DEPARTAMENTAL,Tolima,PRESTAR POR SUS PROPIOS MEDIOS Y CON PLENA AUTONOMÍA; LOS SERVICIOS DE APOYO A LA GESTIÓN; PARA BRINDAR ACOMPAÑAMIENTO A,Contratación directa,9000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9266251,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
71,CO1.REQ.2171506,GOBERNACION DE SUCRE,Sucre,PRESTACIÓN DE SERVICIOS PROFESIONALES,Contratación directa,8000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2117870,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
72,CO1.REQ.1551224,"SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA",Distrito Capital de Bogotá,CAROOL KATHERINE RUIZ VELANDIA,Contratación directa,7377000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1508261,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
73,CO1.REQ.1985801,PROCURADURIA GENERAL DE LA NACION,Distrito Capital de Bogotá,FELIPE ESTIBEN DIAZ PALACIOS,Contratación directa,5400000,entidad en prensa; contratación directa; 0 respuestas de proveedores,195,alta,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1929391,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
74,CO1.REQ.3640251,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACION DE SERVICIOS,Contratación directa,4440000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3552443,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
75,CO1.REQ.7190240,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACION DE SERVICIOS,Contratación directa,4200000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7069139,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
76,CO1.REQ.5298556,ALCALDIA DE PASTO,Nariño,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES O DE APOYO A LA GESTIÓN,Contratación directa,1700000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5194646,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
77,CO1.REQ.256636,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),Distrito Capital de Bogotá,EDP-873-2017,Contratación directa,0,entidad en prensa; contratación directa; 0 respuestas de proveedores,3,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.250127,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
